"count","status","card_category","category_age"
161,"Attrited Customer","Blue","Adults"
608,"Attrited Customer","Blue","Middle Age"
38,"Attrited Customer","Blue","Senior"
4,"Attrited Customer","Gold","Adults"
17,"Attrited Customer","Gold","Middle Age"
5,"Attrited Customer","Platinum","Middle Age"
13,"Attrited Customer","Silver","Adults"
61,"Attrited Customer","Silver","Middle Age"
3,"Attrited Customer","Silver","Senior"
1362,"Existing Customer","Blue","Adults"
4747,"Existing Customer","Blue","Middle Age"
283,"Existing Customer","Blue","Senior"
17,"Existing Customer","Gold","Adults"
76,"Existing Customer","Gold","Middle Age"
2,"Existing Customer","Gold","Senior"
1,"Existing Customer","Platinum","Adults"
14,"Existing Customer","Platinum","Middle Age"
82,"Existing Customer","Silver","Adults"
359,"Existing Customer","Silver","Middle Age"
10,"Existing Customer","Silver","Senior"
